ID,EYE,TIME,DV,Group,rounded_time
K700,OD,0.981230734,4.877626534,4,1
K700,OD,1.890715359,3.870188765,4,2
K700,OD,2.823295353,5.053727559,4,3
K700,OD,6.031593127,4.72020897,4,6
K700,OD,12.03041806,4.093306229,4,12
K700,OD,19.5705185,5.297008226,4,20
K700,OD,22.38218257,6.382713488,4,22
K700,OD,25.56872245,4.260289886,4,26
K700,OD,28.0580306,5.407559407,4,28
K700,OD,30.07394339,8.024326296,4,30
K700,OS,0.906045398,5.351154709,4,1
K700,OS,2.748014483,5.480489196,4,3
K700,OS,5.978738886,7.767916753,4,6
K700,OS,11.99249102,4.117025896,4,12
K700,OS,19.43822765,5.711009239,4,20
K700,OS,22.40245968,7.463340897,4,22
K700,OS,25.6082258,5.128010681,4,26
K700,OS,28.11785883,7.65516806,4,28
A070,OD,3.007771699,2.626431242,2,3
A070,OD,7.069308397,2.123075579,2,7
A070,OD,9.062603495,2.028495151,2,9
A070,OD,13.12538214,1.906261192,2,13
A070,OD,15.9909991,1.594687506,2,16
A070,OD,19.07073185,2.523098742,2,19
A070,OD,21.00687368,2.355430464,2,21
A070,OS,2.914124398,3.070964938,2,3
A070,OS,7.090636384,2.81993743,2,7
A070,OS,8.987465926,2.238353463,2,9
A070,OS,13.03073173,1.973607886,2,13
A070,OS,16.03050245,1.919487824,2,16
A070,OS,18.99483001,2.537682241,2,19
A070,OS,20.98783851,2.341808467,2,21
A075,OD,3.086826166,3.827377566,3,3
A075,OD,7.036158064,3.811078947,3,7
A075,OD,9.010083624,3.476381497,3,9
A075,OD,13.05459137,3.563433405,3,13
A075,OD,15.93704621,2.296979446,3,16
A075,OD,18.88596891,4.689058484,3,19
A075,OS,2.968268349,2.182007634,3,3
A075,OS,6.994218595,2.356328738,3,7
A075,OS,9.0070743,2.413439181,3,9
A075,OS,12.99428547,2.375515693,3,13
A075,OS,15.93523107,1.843144227,3,16
A075,OS,19.01467722,2.816589708,3,19
A055,OD,3.082144995,2.169499934,1,3
A055,OD,7.007473951,1.175848341,1,7
A055,OD,8.924628372,1.09770127,1,9
A055,OD,13.09693686,0.605430685,1,13
A055,OD,15.92902135,0.867989065,1,16
A055,OD,19.02812365,1.438473759,1,19
A055,OD,20.9633579,1.202926494,1,21
A055,OS,2.990886047,3.388870924,1,3
A055,OS,7.054333427,3.453692743,1,7
A055,OS,8.971201246,3.114025513,1,9
A055,OS,12.95740931,2.714021942,1,13
A055,OS,16.07048347,2.448231291,1,16
A055,OS,19.07331128,3.449719124,1,19
